"Symptom Type","Reporter Comment"
"Part Shortage","tf5t6gyu7hu7h"
"5 - Quality Issue - Assembly","blaaaa"
"Part Shortage","no front engine cover"
"5 - Quality Issue - Assembly","Shaker motor damaged"
"2 - Quality Issue - Appearance","Battery tray is damaged"
"5 - Quality Issue - Assembly","SC6500/N283 the foam acoustical for vacuuming system is showing up"
"5 - Quality Issue - Assembly","SC6500/N283 wrong instructions book it is an ADVANCE MACHINE "
"1 - Performance Loss","SC6500/N283 missing extra headlight kit PL#56314313 according to the LN paperwork "
"Part Shortage","no front engine cover"
"5 - Quality Issue - Assembly","SC6500/N283 the lever-pawl-brake is rubbing the floor welded plate "
"2 - Quality Issue - Appearance","SC8000/O105 has scratches on left side of radiator. "
"4 - Quality Issue - Functional","SC8000/O105 has lots of residual or possible leak under hydraulic pump ."
"4 - Quality Issue - Functional","SC8000/O105 has lots of residual or possible leak under hydraulic pump ."
"Part Shortage","missing right guard bumper  56414135"
"Part Shortage","7765/M749 - Missing decal 56015428, apparently out of stock"
"5 - Quality Issue - Assembly","SC8000/M555 alp tank bracket weldt is not holding on medal "
"2 - Quality Issue - Appearance","SC8000/M555 has scratched on upper column weldt"
"Assembly Issue","The angle of the connection between the elbow fitting (56394088, FTG - BKHD 90 - 8 MORFS), and the Hose (7-33-02260, 50ID 90 drg END 11.75) on the left side of the scrub deck has been causing issues. Doesn't fit underneath cover unless angle is lowered, which will affect quality of the hose itself."
"Assembly Issue","The angle of the connection between the elbow fitting (56394088, FTG - BKHD 90 - 8 MORFS), and the Hose (7-33-02260, 50ID 90 drg END 11.75) on the left side of the scrub deck has been causing issues. Doesn't fit underneath cover unless angle is lowered, which will affect quality of the hose itself."
"4 - Quality Issue - Functional","CS7010/ O105 has little bits of leak from filter "
"5 - Quality Issue - Assembly","CS7010/O105 Pull Rod too tight; need adjustments "
"Part Shortage","no front engine cover"
"Part Shortage","no front cover"
"5 - Quality Issue - Assembly","SC8000/ M555 radiator need adjustment not closing properly."
"4 - Quality Issue - Functional","SC8000/ M555 has a serious leak from one of the hydraulic hose and fitting on the hydraulic valve block assy. This need to be rework before FQC can start it inspections…. "
"5 - Quality Issue - Assembly","SC8000/M497 has residue under hydraulic pump, and or possible leak."
"Assembly Issue","SC8000/M555 - Missing under hopper because plastic isn't fitting well for metal filter."
"5 - Quality Issue - Assembly","SC8000/M497 recovery tank arm resting on hydraulic hose "
"5 - Quality Issue - Assembly","Hopper flap damage"
"5 - Quality Issue - Assembly","CS7010/O104 pull rod need adjustment, too tight."
"5 - Quality Issue - Assembly","CS7010/ O104 Spring, compression installed in wrong position. (56171123)"
"5 - Quality Issue - Assembly","CS7010/O104 both side broom has loose washer on broom motor mount weldment."
"2 - Quality Issue - Appearance","CS7010/ O104 has paint scratched on it cylinder - hydraulic (56509377)"
"5 - Quality Issue - Assembly","Missing decal on solution tank lid"
"5 - Quality Issue - Assembly","Missing Battery cables stop mechanism"
"5 - Quality Issue - Assembly","Neutral set up malfunction."
"4 - Quality Issue - Functional","7765/M752 scrub deck have some residue left or potential leak needs to be cleaned at tested "
"2 - Quality Issue - Appearance","7765/M752 oil residue under the auxiliary pump  "
"Assembly Issue","Significant amount of paint cracking/peeling on left side near curved arm (56111926), also on the left side around the opening for the Tee fitting (56394085)"
"Part Shortage","no batteries  56388582"
"2 - Quality Issue - Appearance","SC6500/P095 solution tank have sharp edges "
"5 - Quality Issue - Assembly","SC6500/P095 water sensor harness is loose "
"Assembly Issue","7765/M752 - Hopper shaking is pretty visible, not sure if passable or not."
"Assembly Issue","7765/M752 - Tank cover is hitting side of tank."
"5 - Quality Issue - Assembly","SC6500/P134 missing one ferrite kit left/front side of chassis"
"5 - Quality Issue - Assembly","SC6500/P134 missing one ferrite kit left/front side of chassis "
"5 - Quality Issue - Assembly","SC6500/P134 zip tie not cut "
"5 - Quality Issue - Assembly","SC6500/P134 missing side skirts "
"Part Shortage","missing batteries    part #56388582 three are on the machine"
"Part Shortage","no front engine cover"
"Assembly Issue","P134-Sc6500- Leaking water from valve "
"5 - Quality Issue - Assembly","CS7010/M951 bolt for the panel weldment (PL#56509525) is loose  "
"3 - Quality Issue - Supplier","CS7010/M951 Rod-Prop seat not free falling "
"5 - Quality Issue - Assembly","CS7010/O073 Serial number can not be found screenshot."
"Assembly Issue","floor panel top screw head broke off in the insert."
"5 - Quality Issue - Assembly","CS7010/ O073 Left side broom upper LT arm assy and lower LT arm assy touching. See picture."
"Part Shortage","front engine cover
"
"5 - Quality Issue - Assembly","Valve it’s touching the hose clamp"
"5 - Quality Issue - Assembly","Latch does not lock properly"
"5 - Quality Issue - Assembly","CS7010/O073 missing overhead decal."
"5 - Quality Issue - Assembly","CS7010/ M950 left side broom upper LT arm assy and lower LT arm assy are touching…see photo."
"5 - Quality Issue - Assembly","CS7010/ M950 has loose hopper strain relief."
"5 - Quality Issue - Assembly","CS7010/M950 missing decal- E power embossed on the right side of the machine."
"5 - Quality Issue - Assembly","CS7010/M950 missing decal- hopper safety support ( 56510727)"
"Part Shortage","no front engine cover"
"Part Shortage","no front engine cover"
"5 - Quality Issue - Assembly","Missing rec tank prop rod"
"Assembly Issue","CS7010-O074-no red water to prime machine "
"Assembly Issue","CS7010-O073-no red water to prime machine "
"Part Shortage Escalation","SCREW
"
"5 - Quality Issue - Assembly","Paint scratches "
"5 - Quality Issue - Assembly","Shaker motor wires not plugged in"
"2 - Quality Issue - Appearance","Spray painted "
"5 - Quality Issue - Assembly","Loose hardware "
"5 - Quality Issue - Assembly","Loose hardware"
"Assembly Issue","FL914 sc50 Liberty - led light doesnt work "
"Assembly Issue","FL914 sc50 Liberty - led light doesnt work "
"Assembly Issue","FL914 sc50 Liberty - water leaking from crossover hose / front bumper "
"Assembly Issue","FL914 sc50 Liberty - water leaking from crossover hose / front bumper "
"Part Shortage","no front engine cover"
"Part Shortage","no front engine cover"
"5 - Quality Issue - Assembly","M362: loose hose from dump door actuator. Make sure to tighten and reapply orange torque seal."
"5 - Quality Issue - Assembly","M362: plug for hot test is not plug together."
"5 - Quality Issue - Assembly","FL913: no UV mark from upper sprocket for quality alert."
"1 - Performance Loss","FL913: Machine statues for LN need to be complete. Will review with Zach or Danielle."
"Assembly Issue","SW8000-M362-lever for broom is loose"
"Part Shortage","Parts Shortage - Thumb Nut"
"2 - Quality Issue - Appearance","SC6500/ P094 has a deep scratch on recovery tank. See photo "
"2 - Quality Issue - Appearance","SC6500/ P094 has a deep scratch on recovery tank. See photo "
"5 - Quality Issue - Assembly","SC6500/ N275 right side broom touching floor, too low."
"5 - Quality Issue - Assembly","SC6500/ N275 solution tank cover  lid not properly closing."
"5 - Quality Issue - Assembly","SC6500/ N275 missing decal ( 56016163) decal no step."
"Part Shortage","CS7010 - Missing dump door for hopper."
"Part Shortage","no front engine cover"
"Assembly Issue","FL913 sc50 Liberty - after updating machine . fault code 3-011 / Main driver open popped up . "
"2 - Quality Issue - Appearance","CS7010/M967 big scratch on surface B of recovery tank "
"Assembly Issue","N275-Sc6500- Leaking from solenoid valve"
"Assembly Issue","N275-Sc6500- Roller bumper installed incurred right side"
"Assembly Issue","N275-Sc6500- Hopper strap is loose needed to be tight "
"Part Shortage","no front engine cover"
"5 - Quality Issue - Assembly","Backup alarm should not be installed"
"Part Shortage","MISSING side  broom cs7010"
"Assembly Issue","CS7010-O073-can not do hot test because it says it can not read the ECU "
"Assembly Issue","sc6500/P135 screw head snapped off cannot remove"
"4 - Quality Issue - Functional","M470: when machine is turned on left Side broom rotate counter clockwise. Nic advise to check on hose and left cylinder."
"2 - Quality Issue - Appearance","M470: scratches on seat assembly. "
"2 - Quality Issue - Appearance","SC6500/ P235 has damaged packing decal. See photo attached."
"2 - Quality Issue - Appearance","SC6500/ P235 has damaged packing decal. See photo attached."
"2 - Quality Issue - Appearance","M470: pin hole on cover center."
"5 - Quality Issue - Assembly","SC6500/P066 missing hose assembly  (56220035) and wand assembly (56314402) for kit - spray wand (56413687) see photos attached."
"4 - Quality Issue - Functional","O071: radiator is leaking coolant. May have to replace it. "
"5 - Quality Issue - Assembly","O071: loose engine drain hose."
"2 - Quality Issue - Appearance","O071: multiple scratches on plate inlet from solution tank B surface. Ask assembler from sub 9 and part will come as none or minor to multiple scratches."
"5 - Quality Issue - Assembly","O071: wrong decals on both side for advance machine."
"5 - Quality Issue - Assembly","O071: loose screw from circuit break panel."
"Part Shortage","no front engine cover.
"
"Part Shortage","No front engine cover"
"5 - Quality Issue - Assembly","Foreign object "
"5 - Quality Issue - Assembly","SW8000/M470 latch for intermediate cover is too tight, potential risk of getting broke 
 "
"2 - Quality Issue - Appearance","SW8000/M470 broken zip tie left inside the machine "
"2 - Quality Issue - Appearance","SW8000/M470 console has some scratches next to the gauge panel assy"
"Assembly Issue","P235-SC6500- Deck wont go all the way down due to bad Actuator not setting currently "
